key,parent_key,has_parent
SPARK-10793,,0
SPARK-10794,,0
SPARK-10795,,0
SPARK-10798,,0
SPARK-10796,,0
SPARK-10797,,0
SPARK-10799,,0
SPARK-1080,,0
SPARK-10800,,0
SPARK-10801,,0
SPARK-10802,,0
SPARK-10803,,0
SPARK-10804,,0
SPARK-10806,,0
SPARK-10805,,0
SPARK-10807,,0
SPARK-10808,,0
SPARK-10809,,0
SPARK-1081,SPARK-1093,1
SPARK-10810,,0
SPARK-10811,,0
SPARK-10812,,0
SPARK-10814,SPARK-8360,1
SPARK-10816,,0
SPARK-10815,,0
SPARK-10817,,0
SPARK-1082,,0
SPARK-10820,SPARK-8360,1
SPARK-10821,,0
SPARK-10822,,0
SPARK-10823,SPARK-8360,1
SPARK-10824,SPARK-9315,1
SPARK-10825,,0
SPARK-10826,,0
SPARK-10827,,0
SPARK-10828,,0
SPARK-1083,,0
SPARK-10829,,0
SPARK-10830,,0
SPARK-10831,,0
SPARK-10832,,0
SPARK-10833,,0
SPARK-10834,,0
SPARK-10835,,0
SPARK-10836,SPARK-9315,1
SPARK-10837,,0
SPARK-10838,,0
SPARK-10839,,0
SPARK-1084,,0
SPARK-10840,,0
SPARK-10841,,0
SPARK-10842,,0
SPARK-10843,,0
SPARK-10844,SPARK-9315,1
SPARK-10845,,0
SPARK-10848,,0
SPARK-10846,,0
SPARK-10847,,0
SPARK-10849,,0
SPARK-1085,,0
SPARK-10850,,0
SPARK-10851,,0
SPARK-10852,,0
SPARK-10853,,0
SPARK-10854,,0
SPARK-10855,,0
SPARK-10856,,0
SPARK-10857,,0
SPARK-10858,,0
SPARK-10859,,0
SPARK-1086,,0
SPARK-10860,SPARK-10385,1
SPARK-10862,SPARK-10384,1
SPARK-10861,SPARK-10384,1
SPARK-10863,SPARK-9315,1
SPARK-10864,,0
SPARK-10865,,0
SPARK-10867,,0
SPARK-10866,,0
SPARK-10868,,0
SPARK-10869,,0
SPARK-1087,,0
SPARK-10870,SPARK-9941,1
SPARK-10871,,0
SPARK-10872,,0
SPARK-10873,,0
SPARK-10874,,0
SPARK-10876,,0
SPARK-10875,,0
SPARK-10877,,0
SPARK-10878,,0
SPARK-10879,,0
SPARK-1088,,0
SPARK-10880,,0
SPARK-10881,,0
SPARK-10882,,0
SPARK-10885,,0
SPARK-10884,SPARK-10413,1
SPARK-10883,,0
SPARK-10886,,0
SPARK-10887,SPARK-9983,1
SPARK-10888,SPARK-9315,1
SPARK-10889,,0
SPARK-1089,,0
SPARK-10890,,0
SPARK-10891,,0
SPARK-10895,,0
SPARK-10894,,0
SPARK-10893,,0
SPARK-10892,,0
SPARK-10896,,0
SPARK-10897,,0
SPARK-10898,,0
SPARK-10899,,0
SPARK-1090,,0
SPARK-10900,,0
SPARK-10901,,0
SPARK-10904,,0
SPARK-10903,SPARK-9315,1
SPARK-10902,,0
SPARK-10905,SPARK-10045,1
SPARK-10906,,0
SPARK-10907,,0
SPARK-10908,,0
SPARK-10909,,0
SPARK-1091,,0
SPARK-10910,,0
SPARK-10912,,0
SPARK-10911,,0
SPARK-10913,SPARK-9315,1
SPARK-10914,,0
SPARK-10915,,0
SPARK-10916,,0
SPARK-10917,,0
SPARK-10918,,0
SPARK-10919,,0
SPARK-1092,,0
SPARK-10920,,0
SPARK-10921,,0
SPARK-10922,,0
SPARK-10923,,0
SPARK-10924,,0
SPARK-10925,,0
SPARK-10926,,0
SPARK-10927,,0
SPARK-10928,,0
SPARK-10930,,0
SPARK-10929,,0
SPARK-1093,,0
SPARK-10931,,0
SPARK-10932,,0
SPARK-10933,,0
SPARK-10934,,0
SPARK-10935,SPARK-9941,1
SPARK-10937,,0
SPARK-10936,,0
SPARK-10938,,0
SPARK-10939,,0
SPARK-1094,SPARK-1093,1
SPARK-10940,,0
SPARK-10941,SPARK-4366,1
SPARK-10942,,0
SPARK-10943,,0
SPARK-10944,,0
SPARK-10946,,0
SPARK-10945,,0
SPARK-10948,,0
SPARK-10947,,0
SPARK-1095,SPARK-1093,1
SPARK-10949,,0
SPARK-10950,,0
SPARK-10951,,0
SPARK-10952,,0
SPARK-10953,SPARK-10384,1
SPARK-10954,,0
SPARK-10955,,0
SPARK-10956,SPARK-10000,1
SPARK-10957,,0
SPARK-10958,,0
SPARK-10959,,0
SPARK-1096,,0
SPARK-10960,,0
SPARK-10961,,0
SPARK-10962,,0
SPARK-10964,,0
SPARK-10963,,0
SPARK-10966,,0
SPARK-10965,,0
SPARK-10967,,0
SPARK-10968,,0
SPARK-10969,,0
SPARK-1097,,0
SPARK-10970,,0
SPARK-10971,,0
SPARK-10972,,0
SPARK-10973,,0
SPARK-10975,,0
SPARK-10974,,0
SPARK-10976,,0
SPARK-10977,,0
SPARK-10978,,0
SPARK-10979,SPARK-9315,1
SPARK-1098,,0
SPARK-10980,,0
SPARK-10981,,0
SPARK-10982,,0
SPARK-10984,SPARK-10000,1
SPARK-10983,SPARK-10000,1
SPARK-10985,,0
SPARK-10986,,0
SPARK-10987,,0
SPARK-10988,SPARK-4366,1
SPARK-10989,,0
SPARK-1099,,0
SPARK-10990,,0
SPARK-10991,,0
SPARK-10993,SPARK-9999,1
SPARK-10992,SPARK-4366,1
SPARK-10994,,0
SPARK-10995,,0
SPARK-10996,,0
SPARK-10997,,0
SPARK-10998,,0
SPARK-10999,,0
SPARK-1100,,0
SPARK-11000,,0
SPARK-11001,,0
SPARK-11002,,0
SPARK-11003,,0
SPARK-11004,,0
SPARK-11005,,0
SPARK-11006,,0
SPARK-11007,,0
SPARK-11008,,0
